graph_id,src_id,dst_id,label,train_mask,val_mask,test_mask
0,54,23,0,True,False,False
0,23,54,0,True,False,False
0,23,51,0,True,False,False
0,51,23,0,True,False,False
0,42,44,0,True,False,False
0,44,42,0,True,False,False
0,42,14,0,True,False,False
0,14,42,0,True,False,False
0,54,42,0,True,False,False
0,42,54,0,True,False,False
0,35,46,0,True,False,False
0,46,35,0,True,False,False
0,54,35,0,True,False,False
0,35,54,0,True,False,False
0,35,41,0,True,False,False
0,41,35,0,True,False,False
0,11,20,0,True,False,False
0,20,11,0,True,False,False
0,11,46,0,True,False,False
0,46,11,0,True,False,False
0,54,11,0,True,False,False
0,11,54,0,True,False,False
0,54,5,0,True,False,False
0,5,54,0,True,False,False
0,54,30,0,True,False,False
0,30,54,0,True,False,False
0,54,39,0,True,False,False
0,39,54,0,True,False,False
0,54,50,0,True,False,False
0,50,54,0,True,False,False
0,54,45,0,True,False,False
0,45,54,0,True,False,False
0,54,19,0,True,False,False
0,19,54,0,True,False,False
0,54,47,0,True,False,False
0,47,54,0,True,False,False
0,54,32,0,True,False,False
0,32,54,0,True,False,False
0,54,1,0,True,False,False
0,1,54,0,True,False,False
0,54,33,0,True,False,False
0,33,54,0,True,False,False
0,54,24,0,True,False,False
0,24,54,0,True,False,False
0,54,9,0,True,False,False
0,9,54,0,True,False,False
0,54,38,0,True,False,False
0,38,54,0,True,False,False
0,54,34,0,True,False,False
0,34,54,0,True,False,False
0,54,17,0,True,False,False
0,17,54,0,True,False,False
0,54,0,0,True,False,False
0,0,54,0,True,False,False
0,54,13,0,True,False,False
0,13,54,0,True,False,False
0,54,40,0,True,False,False
0,40,54,0,True,False,False
0,54,36,0,True,False,False
0,36,54,0,True,False,False
0,54,52,0,True,False,False
0,52,54,0,True,False,False
0,54,7,0,True,False,False
0,7,54,0,True,False,False
0,54,53,0,True,False,False
0,53,54,0,True,False,False
0,54,26,0,True,False,False
0,26,54,0,True,False,False
0,54,3,0,True,False,False
0,3,54,0,True,False,False
0,54,49,0,True,False,False
0,49,54,0,True,False,False
0,54,29,0,True,False,False
0,29,54,0,True,False,False
0,54,43,0,True,False,False
0,43,54,0,True,False,False
0,54,25,0,True,False,False
0,25,54,0,True,False,False
0,54,22,0,True,False,False
0,22,54,0,True,False,False
0,54,28,0,True,False,False
0,28,54,0,True,False,False
0,54,27,0,True,False,False
0,27,54,0,True,False,False
0,54,8,0,True,False,False
0,8,54,0,True,False,False
0,19,48,0,True,False,False
0,48,19,0,True,False,False
0,29,48,0,True,False,False
0,48,29,0,True,False,False
0,29,12,0,True,False,False
0,12,29,0,True,False,False
0,9,51,0,True,False,False
0,51,9,0,True,False,False
0,9,12,0,True,False,False
0,12,9,0,True,False,False
0,40,31,0,True,False,False
0,31,40,0,True,False,False
0,40,44,0,True,False,False
0,44,40,0,True,False,False
0,24,14,0,True,False,False
0,14,24,0,True,False,False
0,24,41,0,True,False,False
0,41,24,0,True,False,False
0,38,20,0,True,False,False
0,20,38,0,True,False,False
0,46,20,0,True,False,False
0,20,46,0,True,False,False
0,36,20,0,True,False,False
0,20,36,0,True,False,False
0,48,20,0,True,False,False
0,20,48,0,True,False,False
0,12,20,0,True,False,False
0,20,12,0,True,False,False
0,27,20,0,True,False,False
